Release,UnionTypeNamespacePrefix,UnionTypeName,UnionQualifiedType,MemberTypeNamespacePrefix,MemberTypeName,MemberQualifiedType
5.2,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
5.2,biom,LegacyExemplarFingerPositionCodeSimpleType,biom:LegacyExemplarFingerPositionCodeSimpleType,biom,SlapFingerPositionCodeSimpleType,biom:SlapFingerPositionCodeSimpleType
5.2,biom,LegacyExemplarFingerPositionCodeSimpleType,biom:LegacyExemplarFingerPositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
5.2,biom,LipCharacterizationCodeSimpleType,biom:LipCharacterizationCodeSimpleType,biom,LipPatternSimpleType,biom:LipPatternSimpleType
5.2,biom,LipCharacterizationCodeSimpleType,biom:LipCharacterizationCodeSimpleType,biom,LipPrintCodeSimpleType,biom:LipPrintCodeSimpleType
5.2,biom,MajorCasePrintCodeSimpleType,biom:MajorCasePrintCodeSimpleType,biom,FingerViewCodeSimpleType,biom:FingerViewCodeSimpleType
5.2,biom,MajorCasePrintCodeSimpleType,biom:MajorCasePrintCodeSimpleType,biom,SegmentLocationCodeSimpleType,biom:SegmentLocationCodeSimpleType
5.2,biom,NISTQualityMeasureSimpleType,biom:NISTQualityMeasureSimpleType,biom,Integer1To5SimpleType,biom:Integer1To5SimpleType
5.2,biom,NISTQualityMeasureSimpleType,biom:NISTQualityMeasureSimpleType,biom,QualityScoreFailureCodeSimpleType,biom:QualityScoreFailureCodeSimpleType
5.2,biom,QualityScoreSimpleType,biom:QualityScoreSimpleType,biom,Integer0To100SimpleType,biom:Integer0To100SimpleType
5.2,biom,QualityScoreSimpleType,biom:QualityScoreSimpleType,biom,QualityScoreFailureCodeSimpleType,biom:QualityScoreFailureCodeSimpleType
5.2,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,HypothenarPositionCodeSimpleType,biom:HypothenarPositionCodeSimpleType
5.2,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,MobileFingerPositionCodeSimpleType,biom:MobileFingerPositionCodeSimpleType
5.2,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,SlapFingerPositionCodeSimpleType,biom:SlapFingerPositionCodeSimpleType
5.2,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,SupplementalFingerPositionCodeSimpleType,biom:SupplementalFingerPositionCodeSimpleType
5.2,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
5.2,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
5.2,mo,TelephoneNumberCategoryCodeSimpleType,mo:TelephoneNumberCategoryCodeSimpleType,xCard,TelephoneCategoryCodeSimpleType,xCard:TelephoneCategoryCodeSimpleType
5.2,mo,TelephoneNumberCategoryCodeSimpleType,mo:TelephoneNumberCategoryCodeSimpleType,mo,TelephoneNumberCategoryAdditionalCodeSimpleType,mo:TelephoneNumberCategoryAdditionalCodeSimpleType
