Release,UnionTypeNamespacePrefix,UnionTypeName,UnionQualifiedType,MemberTypeNamespacePrefix,MemberTypeName,MemberQualifiedType
4.1,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
4.1,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,PalmPositionCodeSimpleType,biom:PalmPositionCodeSimpleType
4.1,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,PlantarPositionCodeSimpleType,biom:PlantarPositionCodeSimpleType
4.1,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,SupplementalFingerPositionCodeSimpleType,biom:SupplementalFingerPositionCodeSimpleType
4.1,biom,LegacyExemplarFingerPositionCodeSimpleType,biom:LegacyExemplarFingerPositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
4.1,biom,LegacyExemplarFingerPositionCodeSimpleType,biom:LegacyExemplarFingerPositionCodeSimpleType,biom,SlapFingerPositionCodeSimpleType,biom:SlapFingerPositionCodeSimpleType
4.1,biom,LipCharacterizationCodeSimpleType,biom:LipCharacterizationCodeSimpleType,biom,LipPatternSimpleType,biom:LipPatternSimpleType
4.1,biom,LipCharacterizationCodeSimpleType,biom:LipCharacterizationCodeSimpleType,biom,LipPrintCodeSimpleType,biom:LipPrintCodeSimpleType
4.1,biom,MajorCasePrintCodeSimpleType,biom:MajorCasePrintCodeSimpleType,biom,FingerViewCodeSimpleType,biom:FingerViewCodeSimpleType
4.1,biom,MajorCasePrintCodeSimpleType,biom:MajorCasePrintCodeSimpleType,biom,SegmentLocationCodeSimpleType,biom:SegmentLocationCodeSimpleType
4.1,biom,NISTQualityMeasureSimpleType,biom:NISTQualityMeasureSimpleType,biom,QualityScoreFailureCodeSimpleType,biom:QualityScoreFailureCodeSimpleType
4.1,biom,NISTQualityMeasureSimpleType,biom:NISTQualityMeasureSimpleType,biom,Integer1To5SimpleType,biom:Integer1To5SimpleType
4.1,biom,QualityScoreSimpleType,biom:QualityScoreSimpleType,biom,Integer0to100SimpleType,biom:Integer0to100SimpleType
4.1,biom,QualityScoreSimpleType,biom:QualityScoreSimpleType,biom,QualityScoreFailureCodeSimpleType,biom:QualityScoreFailureCodeSimpleType
4.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
4.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
4.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,HypothenarPositionCodeSimpleType,biom:HypothenarPositionCodeSimpleType
4.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,MobileFingerPositionCodeSimpleType,biom:MobileFingerPositionCodeSimpleType
4.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,SlapFingerPositionCodeSimpleType,biom:SlapFingerPositionCodeSimpleType
4.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,SupplementalFingerPositionCodeSimpleType,biom:SupplementalFingerPositionCodeSimpleType
