originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
5.1,,,add,,5.2,mo,SecurityClassificationCodeType,A data type for an information security classification level.,,mo:SecurityClassificationCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,mo,SecurityClassificationInformationType,A data type for security classification information.,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AbbreviatedActionCodeSimpleType,A data type for an indicator of action to be taken upon receipt of the message.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AbbreviatedActionCodeType,A data type for an indicator of action to be taken upon receipt of the message.,,usmtf:AbbreviatedActionCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AbbreviatedOrganizationNameSimpleType,A data type for an abbreviated name of an organization.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AbbreviatedOrganizationNameType,A data type for an abbreviated name of an organization.,,usmtf:AbbreviatedOrganizationNameSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AbbreviatedSecurityClassificationCodeSimpleType,A data type for the abbreviated security classification of an item.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AbbreviatedSecurityClassificationCodeType,A data type for the abbreviated security classification of an item.,,usmtf:AbbreviatedSecurityClassificationCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ABCCodeSimpleType,"A data type for phonetic codes Alfa, Bravo, and Charlie.",,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ABCCodeType,"A data type for phonetic codes Alfa, Bravo, and Charlie.",,usmtf:ABCCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ABDataMethodCodeSimpleType,A data type for the A/B data method.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ABDataMethodCodeType,A data type for the A/B data method.,,usmtf:ABDataMethodCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ABModelCodeSimpleType,A data type for the method used to determine the A and B values of a mine countermeasure worksheet.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ABModelCodeType,A data type for the method used to determine the A and B values of a mine countermeasure worksheet.,,usmtf:ABModelCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AccuracyEvaluationCodeSimpleType,A data type for a general appraisal of the subject matter in graded terms to indicate the extent or degree to which it has been judged to be free from mistake or error or to conform to truth or some recognized standard value.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AccuracyEvaluationCodeType,A data type for a general appraisal of the subject matter in graded terms to indicate the extent or degree to which it has been judged to be free from mistake or error or to conform to truth or some recognized standard value.,,usmtf:AccuracyEvaluationCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcknowledgingInstructionsSimpleType,A data type for a instructions for acknowledging a message.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcknowledgingInstructionsType,A data type for a instructions for acknowledging a message.,,usmtf:AcknowledgingInstructionsSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ACOSerialNumberWithSuffixType,A data type for the serial number used to define an ACO.,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcousticDetectionCodeSimpleType,A data type for the sound path used for acoustic detection.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcousticDetectionCodeType,A data type for the sound path used for acoustic detection.,,usmtf:AcousticDetectionCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcousticDevicePositionCodeSimpleType,A data type for the position of the acoustic device in the Sweep System Influence (SSI).,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcousticDevicePositionCodeType,A data type for the position of the acoustic device in the Sweep System Influence (SSI).,,usmtf:AcousticDevicePositionCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcousticEnvironmentCharacterizationCodeSimpleType,A data type for the overall acoustic mine sweep environment.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcousticEnvironmentCharacterizationCodeType,A data type for the overall acoustic mine sweep environment.,,usmtf:AcousticEnvironmentCharacterizationCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcousticFrequencyHertzType,A data type for the frequency of an emitted acoustic signal to the nearest hertz.,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcousticFrequencyNearestOneThousandthHertzType,A data type for the frequency of an emitted acoustic signal to the nearest one thousandth hertz.,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcousticFrequencyUnitCodeSimpleType,A data type for the dimensions of frequency measurement associated with an acoustic emission.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AcousticFrequencyUnitCodeType,A data type for the dimensions of frequency measurement associated with an acoustic emission.,,usmtf:AcousticFrequencyUnitCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActionCodeSimpleType,A data type for an indicator which provides the authorization and instructions for the designated hour.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActionCodeType,A data type for an indicator which provides the authorization and instructions for the designated hour.,,usmtf:ActionCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActionInformationIDCodeSimpleType,A data type for a code which identifies if the Address Indicator Group (AIG) or Collective Address Designator (CAD) is action or information.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActionInformationIDCodeType,A data type for a code which identifies if the Address Indicator Group (AIG) or Collective Address Designator (CAD) is action or information.,,usmtf:ActionInformationIDCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActionRequiredCodeSimpleType,A data type for a code which identifies the type of action required.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActionRequiredCodeType,A data type for a code which identifies the type of action required.,,usmtf:ActionRequiredCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActivityCodeSimpleType,"A data type for a succinct description of various types of activities; used to facilitate reporting of observed, detected, or reported events or activities.",,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActivityCodeType,"A data type for a succinct description of various types of activities; used to facilitate reporting of observed, detected, or reported events or activities.",,usmtf:ActivityCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActivityDescriptionSimpleType,A data type for a description of the performance of a function by a subject.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActivityDescriptionType,A data type for a description of the performance of a function by a subject.,,usmtf:ActivityDescriptionSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActivityTextSimpleType,A data type for a textual description of the performance of a function by a subject.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActivityTextType,A data type for a textual description of the performance of a function by a subject.,,usmtf:ActivityTextSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActivityTimeAlphabeticsCodeSimpleType,A data type for the non-discrete time a specific activity or event occurred or is planned to occur.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,ActivityTimeAlphabeticsCodeType,A data type for the non-discrete time a specific activity or event occurred or is planned to occur.,,usmtf:ActivityTimeAlphabeticsCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AddChangeTransactionCodeSimpleType,A data type for the code to indicate an add or change transaction.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AddChangeTransactionCodeType,A data type for the code to indicate an add or change transaction.,,usmtf:AddChangeTransactionCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AddDeleteTransactionCodeSimpleType,A data type for the code to indicate an add or delete transaction.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AddDeleteTransactionCodeType,A data type for the code to indicate an add or delete transaction.,,usmtf:AddDeleteTransactionCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
